candidate_id,source_file,text,sentence_count,word_count,fkgl,contains_number,contains_currency,contains_percentage,contains_date_or_time,contains_financial_term,contains_forecast_or_guidance,contains_profit_or_margin_term,contains_cost_or_expense_term,contains_cash_or_balance_sheet_term
C00017,financial_institution\amazon_barclaycard_tandc.txt,Your simple standard Account usage fees Amount and cash interest rates will move up and down in line with changes to the Bank of England Base Rate (or any rate which replaces it).,1,33,13.0,False,False,False,False,True,False,False,False,True
C00018,financial_institution\amazon_barclaycard_tandc.txt,Your simple standard Account usage fees Amount and cash interest rates will move up and down in line with changes to the Bank of England Base Rate (or any rate which replaces it). We call this rate the Late payment – you’ll be charged this fee when Base Rate.,2,49,8.5,False,False,False,False,True,False,False,False,True
C00019,financial_institution\amazon_barclaycard_tandc.txt,We call this rate the Late payment – you’ll be charged this fee when Base Rate.,1,16,2.8,False,False,False,False,False,False,False,False,False
C00020,financial_institution\amazon_barclaycard_tandc.txt,We call this rate the Late payment – you’ll be charged this fee when Base Rate. We’ll explain more about this in the ‘Changes due to the Bank of you don’t make one of your monthly payments England Base Rate’ section.,2,41,6.4,False,False,False,False,False,False,False,False,False
C00021,financial_institution\amazon_barclaycard_tandc.txt,We’ll explain more about this in the ‘Changes due to the Bank of you don’t make one of your monthly payments England Base Rate’ section.,1,25,9.3,False,False,False,False,False,False,False,False,False
C00022,financial_institution\amazon_barclaycard_tandc.txt,"We’ll explain more about this in the ‘Changes due to the Bank of you don’t make one of your monthly payments England Base Rate’ section. When you use your card, the relevant amount is by your payment due date.",2,39,7.1,False,False,False,False,False,False,False,False,False
C00023,financial_institution\amazon_barclaycard_tandc.txt,"When you use your card, the relevant amount is by your payment due date.",1,14,5.0,False,False,False,False,False,False,False,False,False
C00024,financial_institution\amazon_barclaycard_tandc.txt,"When you use your card, the relevant amount is by your payment due date. We won’t charge this £12 added to a particular balance, depending on the type of transaction you use fee more than four times in a year the card for.",2,43,8.2,True,True,False,False,False,False,False,True,False
C00025,financial_institution\amazon_barclaycard_tandc.txt,"We won’t charge this £12 added to a particular balance, depending on the type of transaction you use fee more than four times in a year the card for.",1,29,11.2,True,True,False,False,False,False,False,True,False
C00026,financial_institution\amazon_barclaycard_tandc.txt,"We won’t charge this £12 added to a particular balance, depending on the type of transaction you use fee more than four times in a year the card for. We may also make promotional offers on certain types of transactions There is no maintenance fee for this account.",2,48,10.5,True,True,False,False,False,False,False,True,False
C00027,financial_institution\amazon_barclaycard_tandc.txt,We may also make promotional offers on certain types of transactions There is no maintenance fee for this account.,1,19,10.5,False,False,False,False,False,False,False,False,False
C00028,financial_institution\amazon_barclaycard_tandc.txt,We may also make promotional offers on certain types of transactions There is no maintenance fee for this account. you make on your account.,2,24,6.8,False,False,False,False,False,False,False,False,False
C00029,financial_institution\amazon_barclaycard_tandc.txt,you make on your account.,1,5,0.5,False,False,False,False,False,False,False,False,False
C00030,financial_institution\amazon_barclaycard_tandc.txt,you make on your account. The balance linked to these transactions (your ‘promotional balance’) may have interest rates which are different to your simple standard and cash interest rates.,2,29,7.6,False,False,False,False,True,False,False,False,True
C00031,financial_institution\amazon_barclaycard_tandc.txt,The balance linked to these transactions (your ‘promotional balance’) may have interest rates which are different to your simple standard and cash interest rates.,1,24,12.0,False,False,False,False,True,False,False,False,True
C00032,financial_institution\amazon_barclaycard_tandc.txt,"The balance linked to these transactions (your ‘promotional balance’) may have interest rates which are different to your simple standard and cash interest rates. Before we make a promotional offer We may also charge you an amount to cover any other reasonable costs or available, we’ll tell you the terms of the promotion.",2,53,13.4,False,False,False,False,True,False,False,True,True
C00033,financial_institution\amazon_barclaycard_tandc.txt,"Before we make a promotional offer We may also charge you an amount to cover any other reasonable costs or available, we’ll tell you the terms of the promotion.",1,29,14.8,False,False,False,False,False,False,False,True,False
C00034,financial_institution\amazon_barclaycard_tandc.txt,"Before we make a promotional offer We may also charge you an amount to cover any other reasonable costs or available, we’ll tell you the terms of the promotion. There’s more information losses we must pay if you break this agreement.",2,41,11.1,False,False,False,False,False,False,False,True,False
C00035,financial_institution\amazon_barclaycard_tandc.txt,There’s more information losses we must pay if you break this agreement.,1,12,6.8,False,False,False,False,False,False,False,False,False
C00036,financial_institution\amazon_barclaycard_tandc.txt,There’s more information losses we must pay if you break this agreement. below on the interest rate(s) associated with promotional balances.,2,21,9.9,False,False,False,False,True,False,False,False,False
C00037,financial_institution\amazon_barclaycard_tandc.txt,below on the interest rate(s) associated with promotional balances.,1,9,14.1,False,False,False,False,True,False,False,False,False
C00038,financial_institution\amazon_barclaycard_tandc.txt,"below on the interest rate(s) associated with promotional balances. Fees that third parties may charge We tell you about all the charges that we make, but using your card might Interest rate mean that you have to pay other amounts to someone else.",2,43,9.8,False,False,False,False,True,False,False,True,False
C00039,financial_institution\amazon_barclaycard_tandc.txt,"Fees that third parties may charge We tell you about all the charges that we make, but using your card might Interest rate mean that you have to pay other amounts to someone else.",1,34,12.2,False,False,False,False,True,False,False,True,False
C00040,financial_institution\amazon_barclaycard_tandc.txt,"Fees that third parties may charge We tell you about all the charges that we make, but using your card might Interest rate mean that you have to pay other amounts to someone else. For example, some organisations may charge an extra fee for credit card payments.",2,47,9.6,False,False,False,False,True,False,False,True,False
C00041,financial_institution\amazon_barclaycard_tandc.txt,"For example, some organisations may charge an extra fee for credit card payments.",1,13,9.4,False,False,False,False,True,False,False,True,False
C00042,financial_institution\amazon_barclaycard_tandc.txt,"For example, some organisations may charge an extra fee for credit card payments. Standard balance – this is made up of the following, unless promotional terms apply 4.",2,28,9.3,True,False,False,False,True,False,False,True,False
C00043,financial_institution\amazon_barclaycard_tandc.txt,"Standard balance – this is made up of the following, unless promotional terms apply 4.",1,15,9.3,True,False,False,False,False,False,False,False,False
C00044,financial_institution\amazon_barclaycard_tandc.txt,"Standard balance – this is made up of the following, unless promotional terms apply 4. Monthly payment instead: We’ll send you a monthly statement to tell you what the minimum amount • Purchases (Your standard rate you need to pay is and when the payment is due.",2,47,10.5,True,False,False,False,False,False,False,False,False
C00045,financial_institution\amazon_barclaycard_tandc.txt,Monthly payment instead: We’ll send you a monthly statement to tell you what the minimum amount • Purchases (Your standard rate you need to pay is and when the payment is due.,1,32,12.9,False,False,False,False,False,False,False,False,False
C00046,financial_institution\amazon_barclaycard_tandc.txt,Monthly payment instead: We’ll send you a monthly statement to tell you what the minimum amount • Purchases (Your standard rate you need to pay is and when the payment is due. • Balance transfers is shown on your You must pay at least your minimum payment in sterling by the due date • Money transfers monthly statement) shown on your statement every month.,2,64,12.9,False,False,False,False,False,False,False,False,False
C00047,financial_institution\amazon_barclaycard_tandc.txt,• Balance transfers is shown on your You must pay at least your minimum payment in sterling by the due date • Money transfers monthly statement) shown on your statement every month.,1,32,13.0,False,False,False,False,False,False,False,False,False
C00048,financial_institution\amazon_barclaycard_tandc.txt,"• Balance transfers is shown on your You must pay at least your minimum payment in sterling by the due date • Money transfers monthly statement) shown on your statement every month. Remember - if you only make your minimum payment each month, it’ll take longer and cost more to pay off your • Interest and account usage fees on the above balance.",2,63,12.7,False,False,False,False,False,False,False,True,False
C00049,financial_institution\amazon_barclaycard_tandc.txt,"Remember - if you only make your minimum payment each month, it’ll take longer and cost more to pay off your • Interest and account usage fees on the above balance.",1,31,12.4,False,False,False,False,False,False,False,True,False
C00050,financial_institution\amazon_barclaycard_tandc.txt,"Remember - if you only make your minimum payment each month, it’ll take longer and cost more to pay off your • Interest and account usage fees on the above balance. You can always choose to pay more.",2,38,7.5,False,False,False,False,False,False,False,True,False
C00051,financial_institution\amazon_barclaycard_tandc.txt,You can always choose to pay more.,1,7,0.6,False,False,False,False,False,False,False,False,False
C00052,financial_institution\amazon_barclaycard_tandc.txt,You can always choose to pay more. • Default fees* Your payment due date will be at least 20 days after we produce your statement.,2,25,3.8,True,False,False,False,True,False,False,False,False
C00053,financial_institution\amazon_barclaycard_tandc.txt,• Default fees* Your payment due date will be at least 20 days after we produce your statement.,1,18,6.3,True,False,False,False,True,False,False,False,False
C00054,financial_institution\amazon_barclaycard_tandc.txt,• Default fees* Your payment due date will be at least 20 days after we produce your statement. You can ask us to change your payment due date.,2,28,4.1,True,False,False,False,True,False,False,False,False
C00055,financial_institution\amazon_barclaycard_tandc.txt,You can ask us to change your payment due date.,1,10,1.3,False,False,False,False,False,False,False,False,False
C00056,financial_institution\amazon_barclaycard_tandc.txt,You can ask us to change your payment due date. If you do this Cash balance – this is made up of the following: it’ll also change your statement date.,2,30,4.3,False,False,False,False,False,False,False,False,True
C00057,financial_institution\amazon_barclaycard_tandc.txt,If you do this Cash balance – this is made up of the following: it’ll also change your statement date.,1,20,6.7,False,False,False,False,False,False,False,False,True
C00058,financial_institution\amazon_barclaycard_tandc.txt,"If you do this Cash balance – this is made up of the following: it’ll also change your statement date. You can’t change your payment date if • Cash withdrawals (this includes any fees other you’ve changed it twice in the last 12 months, or you’ve already changed it people or organisations may charge for the during the previous statement period. withdrawal)",2,62,13.4,True,False,False,False,False,False,False,True,True
C00059,financial_institution\amazon_barclaycard_tandc.txt,"You can’t change your payment date if • Cash withdrawals (this includes any fees other you’ve changed it twice in the last 12 months, or you’ve already changed it people or organisations may charge for the during the previous statement period. withdrawal)",1,42,18.8,True,False,False,False,False,False,False,True,True
C00060,financial_institution\amazon_barclaycard_tandc.txt,"You can’t change your payment date if • Cash withdrawals (this includes any fees other you’ve changed it twice in the last 12 months, or you’ve already changed it people or organisations may charge for the during the previous statement period. withdrawal) Your minimum payment will be the highest of the following: • Buying currency or traveller’s cheques (Your standard rate • £5 (or the total outstanding balance if it’s less than £5) • Cash-like transactions, including: is shown on your - Sending money orders or wire transfers monthly statement) • (A percentage*) of your balance •",2,97,20.8,True,True,True,False,False,False,False,True,True
C00061,financial_institution\amazon_barclaycard_tandc.txt,"Your minimum payment will be the highest of the following: • Buying currency or traveller’s cheques (Your standard rate • £5 (or the total outstanding balance if it’s less than £5) • Cash-like transactions, including: is shown on your - Sending money orders or wire transfers monthly statement) • (A percentage*) of your balance •",1,55,22.8,True,True,True,False,False,False,False,False,True
C00062,financial_institution\amazon_barclaycard_tandc.txt,"Your minimum payment will be the highest of the following: • Buying currency or traveller’s cheques (Your standard rate • £5 (or the total outstanding balance if it’s less than £5) • Cash-like transactions, including: is shown on your - Sending money orders or wire transfers monthly statement) • (A percentage*) of your balance • An amount equal to 100% of the interest, plus 100% of any default fees, - Buying digital currencies, including that have been added to your account since your last statement, plus (a cryptocurrency such as Bitcoin percentage*) of the rest of your balance • Interest and account usage fees on all of the above *",2,110,42.3,True,True,True,False,True,False,False,False,True
C00063,financial_institution\amazon_barclaycard_tandc.txt,"An amount equal to 100% of the interest, plus 100% of any default fees, - Buying digital currencies, including that have been added to your account since your last statement, plus (a cryptocurrency such as Bitcoin percentage*) of the rest of your balance • Interest and account usage fees on all of the above *",1,55,22.4,True,False,True,False,True,False,False,False,False
C00064,financial_institution\amazon_barclaycard_tandc.txt,"An amount equal to 100% of the interest, plus 100% of any default fees, - Buying digital currencies, including that have been added to your account since your last statement, plus (a cryptocurrency such as Bitcoin percentage*) of the rest of your balance • Interest and account usage fees on all of the above * This percentage is unchanged and can be found on your monthly statement.",2,67,26.9,True,False,True,False,True,False,False,False,False
C00065,financial_institution\amazon_barclaycard_tandc.txt,This percentage is unchanged and can be found on your monthly statement.,1,12,5.8,False,False,True,False,False,False,False,False,False
C00066,financial_institution\amazon_barclaycard_tandc.txt,This percentage is unchanged and can be found on your monthly statement. Promotional balance – this is made up of the,2,21,5.4,False,False,True,False,False,False,False,False,False
C00067,financial_institution\amazon_barclaycard_tandc.txt,Promotional balance – this is made up of the,1,9,5.2,False,False,False,False,False,False,False,False,False
C00068,financial_institution\amazon_barclaycard_tandc.txt,"Promotional balance – this is made up of the But, if you’ve agreed to set up a paydown plan (please see the ‘Paydown plans’ following: section, below), your minimum payment will be your paydown plan payment each month instead.",2,39,16.6,False,False,False,False,False,True,False,False,False
C00069,financial_institution\amazon_barclaycard_tandc.txt,"But, if you’ve agreed to set up a paydown plan (please see the ‘Paydown plans’ following: section, below), your minimum payment will be your paydown plan payment each month instead.",1,30,13.4,False,False,False,False,False,True,False,False,False
C00070,financial_institution\amazon_barclaycard_tandc.txt,"But, if you’ve agreed to set up a paydown plan (please see the ‘Paydown plans’ following: section, below), your minimum payment will be your paydown plan payment each month instead. This will be the same amount each month (except for • Transactions with promotional terms, which your final payment, which may be smaller) until your paydown plan ends.",2,58,12.7,False,False,False,False,False,True,False,False,False
C00071,financial_institution\amazon_barclaycard_tandc.txt,"This will be the same amount each month (except for • Transactions with promotional terms, which your final payment, which may be smaller) until your paydown plan ends.",1,28,12.0,False,False,False,False,False,True,False,False,False
C00072,financial_institution\amazon_barclaycard_tandc.txt,"This will be the same amount each month (except for • Transactions with promotional terms, which your final payment, which may be smaller) until your paydown plan ends. we will tell you about before you make the transaction such as: If you’re on a reduced-repayment plan or arrangement, during the plan or Depends on the offer arrangement your minimum payment will be the amount we’ve told you.",2,67,14.4,False,False,False,False,False,True,False,False,False
C00073,financial_institution\amazon_barclaycard_tandc.txt,"we will tell you about before you make the transaction such as: If you’re on a reduced-repayment plan or arrangement, during the plan or Depends on the offer arrangement your minimum payment will be the amount we’ve told you.",1,39,16.9,False,False,False,False,False,True,False,False,False
C00074,financial_institution\amazon_barclaycard_tandc.txt,"we will tell you about before you make the transaction such as: If you’re on a reduced-repayment plan or arrangement, during the plan or Depends on the offer arrangement your minimum payment will be the amount we’ve told you. - Purchases Any refunds you receive on your account won’t count towards your minimum - Balance transfers payment amount.",2,58,13.7,False,False,False,False,False,True,False,False,False
C00075,financial_institution\amazon_barclaycard_tandc.txt,- Purchases Any refunds you receive on your account won’t count towards your minimum - Balance transfers payment amount.,1,19,11.9,False,False,False,False,False,False,False,False,False
C00076,financial_institution\amazon_barclaycard_tandc.txt,"- Purchases Any refunds you receive on your account won’t count towards your minimum - Balance transfers payment amount. You must still pay the full minimum payment unless the - Money transfers refund reduces your balance to an amount which is less than your minimum • Interest and fees on the above promotions payment, in which case you’ll only have to pay the remaining balance.",2,65,14.9,False,False,False,False,False,False,False,False,False
C00077,financial_institution\amazon_barclaycard_tandc.txt,"You must still pay the full minimum payment unless the - Money transfers refund reduces your balance to an amount which is less than your minimum • Interest and fees on the above promotions payment, in which case you’ll only have to pay the remaining balance.",1,46,19.3,False,False,False,False,False,False,False,False,False
C00078,financial_institution\amazon_barclaycard_tandc.txt,"You must still pay the full minimum payment unless the - Money transfers refund reduces your balance to an amount which is less than your minimum • Interest and fees on the above promotions payment, in which case you’ll only have to pay the remaining balance. Legal information – example of the total amount you’d have to pay and the annual percentage rate (APR) We’ll tell you the total amount you would have to pay and the APR when you first enter into the agreement with us.",2,87,18.2,False,False,True,False,False,False,False,False,False
C00079,financial_institution\amazon_barclaycard_tandc.txt,Legal information – example of the total amount you’d have to pay and the annual percentage rate (APR) We’ll tell you the total amount you would have to pay and the APR when you first enter into the agreement with us.,1,41,17.1,False,False,True,False,False,False,False,False,False
C00080,financial_institution\amazon_barclaycard_tandc.txt,Legal information – example of the total amount you’d have to pay and the annual percentage rate (APR) We’ll tell you the total amount you would have to pay and the APR when you first enter into the agreement with us. This legal information is given based on assumptions we make at that time.,2,54,12.1,False,False,True,False,False,False,False,False,False
C00081,financial_institution\amazon_barclaycard_tandc.txt,This legal information is given based on assumptions we make at that time.,1,13,7.6,False,False,False,False,False,False,False,False,False
C00082,financial_institution\amazon_barclaycard_tandc.txt,This legal information is given based on assumptions we make at that time. 5.,2,14,7.6,True,False,False,False,False,False,False,False,False
C00083,financial_institution\amazon_barclaycard_tandc.txt,5.,1,1,-3.4,True,False,False,False,False,False,False,False,False
C00084,financial_institution\amazon_barclaycard_tandc.txt,5. Using your account You can choose whether or not you want to allow us to increase the credit Using the app and contacting us limit on your account.,2,29,12.0,True,False,False,False,True,False,False,False,False
C00085,financial_institution\amazon_barclaycard_tandc.txt,Using your account You can choose whether or not you want to allow us to increase the credit Using the app and contacting us limit on your account.,1,28,11.8,False,False,False,False,True,False,False,False,False
C00086,financial_institution\amazon_barclaycard_tandc.txt,"Using your account You can choose whether or not you want to allow us to increase the credit Using the app and contacting us limit on your account. If we increase your credit limit, we’ll always tell you first and give you 30 days’ notice unless you’ve asked for the increase yourself.",2,52,10.9,True,False,False,False,True,False,False,False,False
C00087,financial_institution\amazon_barclaycard_tandc.txt,"If we increase your credit limit, we’ll always tell you first and give you 30 days’ notice unless you’ve asked for the increase yourself.",1,24,10.0,True,False,False,False,True,False,False,False,False
C00088,financial_institution\amazon_barclaycard_tandc.txt,"If we increase your credit limit, we’ll always tell you first and give you 30 days’ notice unless you’ve asked for the increase yourself. Your account is designed to be used digitally.",2,32,7.6,True,False,False,False,True,False,False,False,False
C00089,financial_institution\amazon_barclaycard_tandc.txt,Your account is designed to be used digitally.,1,8,6.7,False,False,False,False,False,False,False,False,False
C00090,financial_institution\amazon_barclaycard_tandc.txt,"Your account is designed to be used digitally. This means that you’ll need to When you receive this notice, you can tell us not to increase your credit limit.",2,29,5.9,False,False,False,False,True,False,False,False,False
C00091,financial_institution\amazon_barclaycard_tandc.txt,"This means that you’ll need to When you receive this notice, you can tell us not to increase your credit limit.",1,21,7.2,False,False,False,False,True,False,False,False,False
C00092,financial_institution\amazon_barclaycard_tandc.txt,"This means that you’ll need to When you receive this notice, you can tell us not to increase your credit limit. use the app to manage your account and benefit from account features.",2,33,6.6,False,False,False,False,True,False,False,False,False
C00093,financial_institution\amazon_barclaycard_tandc.txt,use the app to manage your account and benefit from account features.,1,12,6.8,False,False,False,False,False,False,False,False,False
C00094,financial_institution\amazon_barclaycard_tandc.txt,"use the app to manage your account and benefit from account features. It’s If you prefer, you can tell us that we must always check with you before also the main way we’ll contact you and give you important messages and increasing your credit limit.",2,45,10.0,False,False,False,False,True,False,False,False,False
C00095,financial_institution\amazon_barclaycard_tandc.txt,"It’s If you prefer, you can tell us that we must always check with you before also the main way we’ll contact you and give you important messages and increasing your credit limit.",1,33,13.7,False,False,False,False,True,False,False,False,False
C00096,financial_institution\amazon_barclaycard_tandc.txt,"It’s If you prefer, you can tell us that we must always check with you before also the main way we’ll contact you and give you important messages and increasing your credit limit. information (along with text messages and emails).",2,40,9.9,False,False,False,False,True,False,False,False,False
C00097,financial_institution\amazon_barclaycard_tandc.txt,information (along with text messages and emails).,1,7,10.7,False,False,False,False,False,False,False,False,False
C00098,financial_institution\amazon_barclaycard_tandc.txt,"information (along with text messages and emails). To make sure that you can manage your account and we can keep in touch with you, it’s important that You can also tell us not to increase your credit limit at any time in the future you keep the app up to date.",2,51,10.1,False,False,False,False,True,False,False,False,False
C00099,financial_institution\amazon_barclaycard_tandc.txt,"To make sure that you can manage your account and we can keep in touch with you, it’s important that You can also tell us not to increase your credit limit at any time in the future you keep the app up to date.",1,44,16.1,False,False,False,False,True,False,False,False,False
C00100,financial_institution\amazon_barclaycard_tandc.txt,"To make sure that you can manage your account and we can keep in touch with you, it’s important that You can also tell us not to increase your credit limit at any time in the future you keep the app up to date. We’ll only ever communicate with you in English.",2,52,10.0,False,False,False,False,True,False,False,False,False
C00101,financial_institution\amazon_barclaycard_tandc.txt,We’ll only ever communicate with you in English.,1,8,8.2,False,False,False,False,False,False,False,False,False
C00102,financial_institution\amazon_barclaycard_tandc.txt,We’ll only ever communicate with you in English. or tell us at any time if you want to reduce your credit limit.,2,22,5.9,False,False,False,False,True,False,False,False,False
C00103,financial_institution\amazon_barclaycard_tandc.txt,or tell us at any time if you want to reduce your credit limit.,1,14,5.0,False,False,False,False,True,False,False,False,False
C00104,financial_institution\amazon_barclaycard_tandc.txt,or tell us at any time if you want to reduce your credit limit. We won’t increase your credit limit if we think you can’t afford to make the repayments.,2,30,6.0,False,False,False,False,True,False,False,False,False
C00105,financial_institution\amazon_barclaycard_tandc.txt,We won’t increase your credit limit if we think you can’t afford to make the repayments.,1,16,6.9,False,False,False,False,True,False,False,False,False
C00106,financial_institution\amazon_barclaycard_tandc.txt,"We won’t increase your credit limit if we think you can’t afford to make the repayments. If you ever need to get in touch with us for any reason, the best way is to You mustn’t go over your credit limit, but if you do your credit records may be contact us using the chat service in the app.",2,59,11.3,False,False,False,False,True,False,False,False,False
C00107,financial_institution\amazon_barclaycard_tandc.txt,"If you ever need to get in touch with us for any reason, the best way is to You mustn’t go over your credit limit, but if you do your credit records may be contact us using the chat service in the app.",1,43,16.3,False,False,False,False,True,False,False,False,False
C00108,financial_institution\amazon_barclaycard_tandc.txt,"If you ever need to get in touch with us for any reason, the best way is to You mustn’t go over your credit limit, but if you do your credit records may be contact us using the chat service in the app. affected – this means it might be harder or more expensive for you to borrow in the future.",2,61,11.6,False,False,False,False,True,False,False,False,False
C00109,financial_institution\amazon_barclaycard_tandc.txt,affected – this means it might be harder or more expensive for you to borrow in the future.,1,18,7.7,False,False,False,False,False,False,False,False,False
C00110,financial_institution\amazon_barclaycard_tandc.txt,"affected – this means it might be harder or more expensive for you to borrow in the future. If you can’t use the app, you can call us on 0800 151 0157. 8.",2,33,5.0,True,False,False,False,False,False,False,False,False
C00111,financial_institution\amazon_barclaycard_tandc.txt,"If you can’t use the app, you can call us on 0800 151 0157. 8.",1,15,2.1,True,False,False,False,False,False,False,False,False
C00112,financial_institution\amazon_barclaycard_tandc.txt,"If you can’t use the app, you can call us on 0800 151 0157. 8. Your interest charges Changing your details When we charge interest Please keep us up to date with the name, mobile number, email address, If you pay your balance (excluding any promotional balance or late payment residential address, landline number, nationality and date of birth for you fees) in full by your payment due date, the following will apply that month: and your additional cardholders (who must be based in the British Isles).",2,87,18.3,True,False,False,False,False,False,False,True,False
C00113,financial_institution\amazon_barclaycard_tandc.txt,"Your interest charges Changing your details When we charge interest Please keep us up to date with the name, mobile number, email address, If you pay your balance (excluding any promotional balance or late payment residential address, landline number, nationality and date of birth for you fees) in full by your payment due date, the following will apply that month: and your additional cardholders (who must be based in the British Isles).",1,72,30.5,False,False,False,False,False,False,False,True,False
C00114,financial_institution\amazon_barclaycard_tandc.txt,"Your interest charges Changing your details When we charge interest Please keep us up to date with the name, mobile number, email address, If you pay your balance (excluding any promotional balance or late payment residential address, landline number, nationality and date of birth for you fees) in full by your payment due date, the following will apply that month: and your additional cardholders (who must be based in the British Isles). We’ll always communicate with you using the app and the most recent contact •",2,86,19.0,False,False,False,False,False,False,False,True,False
C00115,financial_institution\amazon_barclaycard_tandc.txt,We’ll always communicate with you using the app and the most recent contact •,1,14,7.6,False,False,False,False,False,False,False,False,False
C00116,financial_institution\amazon_barclaycard_tandc.txt,We’ll always communicate with you using the app and the most recent contact • We won’t charge interest on any purchases or cash balance details you’ve given us.,2,28,13.3,False,False,False,False,False,False,False,True,True
C00117,financial_institution\amazon_barclaycard_tandc.txt,We won’t charge interest on any purchases or cash balance details you’ve given us.,1,14,8.4,False,False,False,False,False,False,False,True,True
C00118,financial_institution\amazon_barclaycard_tandc.txt,We won’t charge interest on any purchases or cash balance details you’ve given us. We’re not responsible if you don’t get information •,2,23,8.0,False,False,False,False,False,False,False,True,True
C00119,financial_institution\amazon_barclaycard_tandc.txt,We’re not responsible if you don’t get information •,1,9,8.2,False,False,False,False,False,False,False,False,False
C00120,financial_institution\amazon_barclaycard_tandc.txt,We’re not responsible if you don’t get information • We’ll only charge interest on your non 0% promotional balance because you haven’t told us about a change to your contact details.,2,31,14.2,True,False,True,False,False,False,False,True,False
C00121,financial_institution\amazon_barclaycard_tandc.txt,We’ll only charge interest on your non 0% promotional balance because you haven’t told us about a change to your contact details.,1,22,10.2,True,False,True,False,False,False,False,True,False
C00122,financial_institution\amazon_barclaycard_tandc.txt,"We’ll only charge interest on your non 0% promotional balance because you haven’t told us about a change to your contact details. If you or any additional cardholders are living overseas, please let us know",2,35,9.4,True,False,True,False,False,False,False,True,False
C00123,financial_institution\amazon_barclaycard_tandc.txt,"If you or any additional cardholders are living overseas, please let us know",1,13,9.4,False,False,False,False,False,False,False,False,False
C00124,financial_institution\amazon_barclaycard_tandc.txt,"If you or any additional cardholders are living overseas, please let us know so How we charge interest that we can contact you.",2,23,10.8,False,False,False,False,False,False,False,True,False
