candidate_id,source_file,text,sentence_count,word_count,fkgl,text_simplified_reference,annotator_id,confidence,notes,jargon_terms,fkgl_original,fkgl_simplified,word_count_original,word_count_simplified,output_generic,output_financial,output_financial_t5xl,output_llm
11,fca_consumer_lending_strategy.txt,"Our Priorities: We want to support a sustainable and effective Consumer Lending market in which consumers who can afford to borrow, have access to credit that meets their needs. Firms offering credit must do so responsibly.",2,36,10.8,Our priorities: We want to support a sustainable and effective Consumer Lending market in which consumers who can afford to borrow have access to credit that meets their needs. Firms offering credit must do so responsibly.,Hanley,High,,"Consumer Lending, credit",10.8,10.8,36,36,"Our Priorities: We want to support a sustainable and effective Consumer Lending market in which consumers who can afford to borrow, have access to credit that meets their needs. Firms offering credit must do so responsibly.","Our Priorities: We want to support a sustainable and effective Consumer Lending market in which consumers who can afford to borrow, have access to credit that meets their needs. Firms offering credit must do so responsibly.","Our Priorities: We want to support a sustainable and effective Consumer Lending market in which consumers who can afford to borrow, have access to credit that meets their needs. Firms offering credit must do so responsibly.",Our Goals: We want a healthy lending market where people can borrow money safely. Lenders must offer credit responsibly.
12,nationwide_current_account_tandc.txt,"When we share your information with credit reference agencies theyll use this to check your credit rating, along with the other details youve given us. These checks are part of most account application processes  however, they will leave a record on your credit file that other lenders can see. This might affect your ability to get credit elsewhere for a short while.",2,63,10.6,"When we share your information with credit reference agencies, they will use it to check your credit rating, along with the other details you have given us. These checks are part of most account application processes. However, they will leave a record on your credit file that other lenders can see. This may affect your ability to get credit elsewhere for a short period.",Hanley,High,,"credit reference agencies, credit rating, credit file",10.6,8.7,63,64,"We share your information with credit reference agencies to check your credit rating, along with the other details youve given us. These checks are part of most account application processes  however, they will leave a record on your credit file that other lenders can see.","When we share your information with credit reference agencies theyll use this to check your credit rating, along with the other details youve given us. These checks are part of most account application processes  however, they will leave a record on your credit file that other lenders can see. This might affect your ability to get credit elsewhere for a short while.","When we share your information with credit reference agencies theyll use this to check your credit rating, along with the other details youve given us. These checks are part of most account application processes  however, they will leave a record on your credit file that other lenders can see. This might affect your ability to get credit elsewhere for a short while.","When we share your details with credit agencies, they check your credit score. These checks stay on your record for other lenders to see. This might make it harder to get credit for a short time."
13,fca_consumer_credit_guide.txt,"Credit broking where the sale of goods or non-financial services is the main business, and broking is a secondary activity to help finance the purchase of those goods or services (such as certain motor dealerships and high-street retailers that introduce customers to a finance provider)",2,45,22.7,"Credit broking where the main business is selling goods or non-financial services, and where arranging finance is a secondary activity to help customers pay for those goods or services — for example, certain car dealerships and high-street retailers that refer customers to a finance provider.",Hanley,High,,"credit broking, finance provider",22.7,23.2,45,45,Credit broking is a secondary activity to help finance the purchase of goods or services (such as certain motor dealerships and high-street retailers that introduce customers to a finance provider),"Credit broking where the sale of goods or non-financial services is the main business, and broking is a secondary activity to help finance the purchase of those goods or services (such as certain motor dealerships and high-street retailers that introduce customers to a finance provider)","Credit broking where the sale of goods or non-financial services is the main business, and broking is a secondary activity to help finance the purchase of those goods or services (such as certain motor dealerships and high-street retailers that introduce customers to a finance provider)","Some stores help you find a loan to buy their goods, like cars or electronics. This is called credit broking."
14,cfpb_secured_unsecured_loans.txt,"This trust is based on their credit history what borrowers have done in the past that gives them a good credit rating. Because unsecured loans put lenders at higher risk, they may have a higher interest rate than secured loans.",2,40,9.9,"This trust is based on borrowers' credit history — what they have done in the past that gives them a good credit rating. Because unsecured loans put lenders at higher risk, they may carry a higher interest rate than secured loans.",Hanley,High,,"credit history, credit rating, unsecured loans, secured loans",9.9,10.2,40,41,Secured loans are loans that are unsecured. Unsecured loans put lenders at higher risk.,"This trust is based on what borrowers have done in the past that gives them a good credit rating. Because unsecured loans put lenders at higher risk, they may have a higher interest rate than secured loans.",This trust is based on their credit history what borrowers have done in the past that gives them a good credit rating.,"Lenders trust borrowers with a good credit history. Because unsecured loans are riskier for lenders, they often have higher interest rates than secured loans."
15,nationwide_savings_tandc.txt,"You may have to pay a charge, lose interest, or give notice before closing your account unless other terms and conditions say you dont. For example, you wont have to do this if we make a change to the terms and conditions thats to your disadvantage.",2,46,9.3,"You may have to pay a charge, lose interest, or give notice before closing your account, unless the terms and conditions say otherwise. For example, you will not have to do this if we make a change to the terms and conditions that is to your disadvantage.",Hanley,High,,terms and conditions,9.3,9.6,46,47,"You may have to pay a charge, lose interest, or give notice before closing your account unless other terms and conditions say you dont.","You may have to pay a charge, lose interest, or give notice before closing your account unless other terms and conditions say you don’t.","You may have to pay a charge, lose interest, or give notice before closing your account unless other terms and conditions say you don't. For example, you won't have to do this if we make a change to the terms and conditions thats to your disadvantage.","You might have to pay a fee, lose interest, or give notice to close your account. You do not have to do this if we make a change that hurts you."
16,hsbc_summary_box.txt,"If you are over your credit limit (even if we have allowed you to go over):  If a payment is returned unpaid: If we need to enforce repayment, including legal and tracing costs: Our reasonable costs.",3,36,16.8,"If you are over your credit limit (even if we allowed you to exceed it): our reasonable costs apply. If a payment is returned unpaid: our reasonable costs apply. If we need to enforce repayment, including legal and tracing costs: our reasonable costs apply.",Hanley,High,,credit limit,16.8,9.2,36,44,"If you are over your credit limit (even if we have allowed you to go over): If a payment is returned unpaid: If we need to enforce repayment, including legal and tracing costs: Our reasonable costs.","If you are over your credit limit (even if we have allowed you to go over): If a payment is returned unpaid: If we need to enforce repayment, including legal and tracing costs: Our reasonable costs.","If you are over your credit limit (even if we have allowed you to go over): If a payment is returned unpaid: If we need to enforce repayment, including legal and tracing costs: Our reasonable costs.","You will pay costs if you go over your credit limit, if a payment fails, or if we have to force you to pay."
17,sec_interest_rate_risk.txt,"In fact, the U.S. government does not guarantee the market price or value of the bond if you sell the bond before it matures. This is because the market price or value of the bond can change over time based on several factors, including market interest rates.",2,47,5.8,"The U.S. government does not guarantee the market price or value of the bond if you sell it before it matures. This is because the market value of a bond can change over time based on several factors, including market interest rates.",Hanley,High,,"bond, market interest rates, market price",5.8,5.9,47,42,"The U.S. government does not guarantee the market price or value of the bond if you sell the bond before it matures. This is because the market price or value of the bond can change over time based on several factors, including market interest rates.","The U.S. government does not guarantee the market price or value of the bond if you sell the bond before it matures. This is because the market price or value of the bond can change over time based on several factors, including market interest rates.",The U.S. government does not guarantee the market price or value of the bond if you sell the bond before it matures. This is because the market price or value of the bond can change over time.,The U.S. government does not promise the bond's value if you sell it early. The price changes over time based on market interest rates.
18,cfpb_credit_card_guide.txt,"If you did not have a consumer credit licence on 31 March 2014, or you did not notify us that you wished to receive interim permission, you can apply for authorisation at any point but you cannot carry on any credit-related regulated activities, for which you require authorisation, until we approve your application.",2,53,26.0,"If you did not hold a consumer credit licence on 31 March 2014, or did not notify us that you wished to receive interim permission, you may apply for authorisation at any time. However, you cannot carry on any credit-related regulated activities that require authorisation until we have approved your application.",Hanley,High,,"consumer credit licence, interim permission, authorisation, regulated activities",26.0,16.3,53,51,"If you did not have a consumer credit licence on 31 March 2014, or you did not notify us that you wished to receive interim permission, you can apply for authorisation at any point but you cannot carry on any credit-related regulated activities, for which you require authorisation, until we approve your application.","If you did not have a consumer credit licence on 31 March 2014, or you did not notify us that you wished to receive interim permission, you can apply for authorisation at any point but you cannot carry on any credit-related regulated activities, for which you require authorisation, until we approve your application.","If you did not have a consumer credit licence on 31 March 2014, or you did not notify us that you wanted to receive interim permission, you can apply for authorisation at any point but you cannot carry on any credit-related regulated activities, for which you require authorisation, until we approve your application.","If you did not have a license before March 31, 2014, you can apply now. But you cannot do credit activities until we approve you."
19,nationwide_current_account_tandc.txt,"Our Current Account Interest Rates and Charges leaflet sets out the accounts upon which we pay interest and our charges. Our current interest rates and charges are available from any of our branches, on our website and in our Current Account Interest Rates and Charges leaflet.",2,46,12.6,"Our Current Account Interest Rates and Charges leaflet sets out the accounts on which we pay interest and our charges. Our current interest rates and charges are available at any of our branches, on our website, and in our Current Account Interest Rates and Charges leaflet.",Hanley,High,,"interest rates, charges",12.6,12.4,46,46,"Current Account Interest Rates and Charges leaflet sets out the accounts upon which we pay interest and our charges. Our current interest rates and charges are available from any of our branches, on our website and in our Current Account Interest Rates and Charges leaflet.","Our Current Account Interest Rates and Charges leaflet sets out the accounts upon which we pay interest and our charges. Our current interest rates and charges are available from any of our branches, on our website and in our Current Account Interest Rates and Charges leaflet.","Our Current Account Interest Rates and Charges leaflet sets out the accounts upon which we pay interest and our charges. Our current interest rates and charges are available from any of our branches, on our website and in our Current Account Interest Rates and Charges leaflet.","Our leaflet shows the interest we pay and the fees we charge. You can find these rates in our branches, on our website, or in the leaflet."
20,cfpb_credit_card_guide.txt,This answer guide provides possible answers for the Getting a credit card and using it wisely worksheet. Keep in mind that students answers may vary. The important thing is for students to have reasonable justification for their answers.,3,38,8.6,This answer guide provides possible answers for the 'Getting a credit card and using it wisely' worksheet. Keep in mind that students' answers may vary. The important thing is that students can give a reasonable explanation for their answers.,Hanley,High,,credit card,8.6,8.2,38,39,This answer guide provides possible answers for the Getting a credit card and using it wisely worksheet. The important thing is for students to have reasonable justification for their answers.,This answer guide provides possible answers for the Getting a credit card and using it wisely worksheet.,This answer guide provides possible answers for the Getting a credit card and using it wisely worksheet.,This guide gives possible answers for the credit card worksheet. Student answers may vary. The main goal is for students to have good reasons for their answers.
21,sec_interest_rate_risk.txt,"For example, as the table below illustrates, lets say a treasury bond offers a 3 coupon rate, and a year later market interest rates fall to 2 . The bond will still pay a 3 coupon rate, making it more valuable than new bonds paying just a 2 coupon rate.",2,50,10.2,"For example, if a treasury bond offers a 3% coupon rate and, a year later, market interest rates fall to 2%, the bond will still pay a 3% coupon rate. This makes it more valuable than new bonds paying only a 2% coupon rate.",John,High,,"treasury bond, coupon rate, market interest rates",10.2,8.8,50,44,"Let's say a treasury bond offers a 3 coupon rate, and a year later market interest rates fall to 2 . The bond will still pay a 3 coupon rate, making it more valuable than new bonds paying just a 2 coupon rate.","For example, as the table below illustrates, lets say a treasury bond offers a 3 coupon rate, and a year later market interest rates fall to 2 . The bond will still pay a 3 coupon rate, making it more valuable than new bonds paying just a 2 coupon rate.","For example, let's say a treasury bond offers a 3 coupon rate, and a year later market interest rates fall to 2 . The bond will still pay a 3 coupon rate, making it more valuable than new bonds paying just a 2 coupon rate.","For example, a treasury bond pays 3% interest. If market rates drop to 2% next year, your bond still pays 3%. This makes your bond more valuable."
22,hsbc_personal_loan_tandc.txt,We charge a fixed amount of interest which we add to the loan when we open the loan account. The total amount payable What are our rights if you miss a repayment by you is the sum of interest and the loan.,2,42,7.8,"We charge a fixed amount of interest, which we add to the loan when the loan account is opened. The total amount payable by you is the sum of the loan and the interest.",John,High,,"interest, total amount payable",7.8,6.7,42,34,We charge a fixed amount of interest which we add to the loan when we open the loan account. The total amount payable is the sum of interest and the loan.,We charge a fixed amount of interest which we add to the loan when we open the loan account. The total amount payable is the sum of interest and the loan.,We charge a fixed amount of interest which we add to the loan when we open the loan account. The total amount payable is the sum of interest and the loan.,We add a fixed interest amount to your loan when we open your account. You must pay back the total of the loan and the interest.
23,hsbc_credit_card_tandc.txt,"You mustnt use your card for any illegal purposes or to make certain types. When changes take effect of restricted transactions. Well give you information about which types of If the Base Rate changes, your simple standard and cash interest rates will transaction are not allowed from time to time.",2,50,9.1,"You must not use your card for any illegal purposes or for certain types of restricted transactions. We will tell you from time to time which types of transactions are not allowed. If the Base Rate changes, your standard and cash interest rates will change accordingly.",John,High,,"Base Rate, restricted transactions, interest rates",9.1,8.3,50,46,"If the Base Rate changes, your simple standard and cash interest rates will transaction are not allowed from time to time.","You mustnt use your card for any illegal purposes or to make certain types. When changes take effect of restricted transactions. Well give you information about which types of If the Base Rate changes, your simple standard and cash interest rates will transaction are not allowed from time to time.","You mustnt use your card for any illegal purposes or to make certain types of transactions. When changes take effect of restricted transactions. Well give you information about which types of If the Base Rate changes, your simple standard and cash interest rates will","You must not use your card for illegal or restricted actions. We will tell you which actions are not allowed. If the Base Rate changes, your interest rates will also change."
24,cfpb_secured_unsecured_loans.txt,Suggested activities include Qualifying for loans and Calculating loan payments. You also may consider having students get an estimated credit score at the FICO Score Estimator1 at fico-credit-score-estimator estimator. The CFPB does not endorse this third party or guarantee the accuracy of this third-party information.,2,45,14.6,Suggested activities include 'Qualifying for loans' and 'Calculating loan payments'. You may also consider having students estimate their credit score using the FICO Score Estimator. Please note that the CFPB does not endorse this third party or guarantee the accuracy of the information it provides.,John,High,,"credit score, FICO Score, CFPB",14.6,11.5,45,45,You may also consider having students get an estimated credit score at the FICO Score Estimator1 at fico-credit-score-estimator.,Suggested activities include Qualifying for loans and Calculating loan payments. You also may consider having students get an estimated credit score at the FICO Score Estimator1. The CFPB does not endorse this third party or guarantee the accuracy of this third party information.,Suggested activities include Qualifying for loans and Calculating loan payments. You also may consider having students get an estimated credit score at the FICO Score Estimator at fico-credit-score-estimator estimator.,Activities include qualifying for loans and calculating payments. You can also have students estimate their credit score online. The CFPB does not guarantee this third-party tool.
25,bank_of_scotland_cc_tandc.txt,The cost to use your credit card depends on the interest rates and any introductory or promotional offers you have. What is the interest rate? We use both simple and effective rates when we explain the interest rates we charge you.,3,41,8.2,The cost of using your credit card depends on the interest rates and any introductory or promotional offers you have. We use both simple and effective interest rates when explaining the rates we charge you.,John,High,,"interest rates, promotional offers, simple interest, effective interest",8.2,10.8,41,35,The interest rate on your credit card depends on the interest rate you pay.,The cost to use your credit card depends on the interest rates and any introductory or promotional offers you have.,The cost to use your credit card depends on the interest rates and any promotional offers you have. What is the interest rate? We use both simple and effective rates when we explain the interest rates we charge you.,The cost of your credit card depends on your interest rates and special offers. We use simple and effective rates to explain the interest we charge.
26,fca_consumer_credit_guide.txt,"Financial crime and intelligence All consumer credit firms are required to put in place systems and controls to mitigate the risk that they may be used to further financial crime. We look at the measures firms take to monitor, detect and prevent financial crime risk effectively.",2,46,12.9,"Financial crime and intelligence: all consumer credit firms must put in place systems and controls to reduce the risk that they may be used to facilitate financial crime. We review the steps firms take to monitor, detect, and prevent financial crime effectively.",John,High,,"financial crime, consumer credit firms",12.9,12.3,46,42,"All credit firms are required to put in place systems and controls to mitigate the risk that they may be used to further financial crime. We look at the measures firms take to monitor, detect and prevent financial crime risk effectively.",All consumer credit firms are required to put in place systems and controls to mitigate the risk that they may be used to further financial crime.,"All consumer credit firms are required to put in place systems and controls to mitigate the risk that they may be used to further financial crime. We look at the measures firms take to monitor, detect and prevent financial crime effectively.",All lending firms must use systems to stop financial crime. We check how well firms find and stop these crimes.
27,cfpb_credit_card_guide.txt,"Using credit: In your own words, explain how a credit card works. When you use a credit card, someone lends you money to buy something.",3,25,5.3,"Using credit: In your own words, explain how a credit card works. When you use a credit card, someone lends you money to buy something.",John,High,,"credit card, credit",5.3,5.3,25,25,"Using a credit card: Explain how a credit card works. When you use a credit card, someone lends you money.","When you use a credit card, someone lends you money to buy something.","When you use a credit card, someone lends you money to buy something.","Explain how a credit card works in your own words. When you use a credit card, someone lends you money to buy things."
28,nationwide_mortgage_conditions.txt,e'll make sure any increase in your interest rate is Changes to your property proportionate to the reason for increasing it. You must not change the structure of your property or extend it in a way that reduces its value.,2,40,9.6,We will make sure any increase in your interest rate is proportionate to the reason for making it. You must not change the structure of your property or extend it in a way that reduces its value.,John,High,,interest rate,9.6,8.2,40,37,E'll make sure any increase in your interest rate is changes to your property proportionate to the reason for increasing it. You must not change the structure of your property or extend it in a way that reduces its value.,E'll make sure any increase in your interest rate is Changes to your property proportionate to the reason for increasing it. You must not change the structure of your property or extend it in a way that reduces its value.,e will make sure any increase in your interest rate is proportionate to the reason for increasing it. You must not change the structure of your property or extend it in a way that reduces its value.,"If we raise your interest rate, we will make sure the increase is fair. You must not change or expand your property if it lowers its value."
29,fca_consumer_credit_guide.txt,We wrote to firms to tell them when they should apply. Authorisation is our equivalent of the OFT consumer credit licensing regime. Firms that want to carry on regulated activities must apply for authorisation (unless they are exempt or an appointed representative).,3,42,11.5,"We wrote to firms to tell them when they should apply. Authorisation is our equivalent of the OFT consumer credit licensing regime. Firms that wish to carry on regulated activities must apply for authorisation, unless they are exempt or are an appointed representative.",John,High,,"authorisation, OFT, regulated activities, appointed representative",11.5,11.1,42,43,We wrote to firms to tell them when they should apply for authorisation.,We wrote to firms to tell them when they should apply for authorisation (unless they are exempt or an appointed representative).,We told firms when they should apply. Authorisation is our equivalent of the OFT consumer credit licensing regime. Firms that want to carry on regulated activities must apply for authorisation (unless they are exempt or an appointed representative).,We told firms when to apply. Firms must get our approval to do regulated activities unless they have an exemption.
30,cfpb_credit_card_guide.txt,"Why is it a good idea to pay your entire credit card bill each month? If you can pay your entire bill every month, you wont have to pay interest. That makes credit less expensive for you.",3,37,4.8,"Why is it a good idea to pay your entire credit card bill each month? If you pay your entire bill every month, you will not have to pay interest. This makes credit less expensive for you.",John,High,,"credit card, interest",4.8,4.8,37,37,"If you can pay your entire credit card bill every month, you wont have to pay interest. That makes credit less expensive for you.","Why is it a good idea to pay your entire credit card bill each month? If you can pay your entire bill every month, you wont have to pay interest. That makes credit less expensive for you.","If you can pay your entire bill every month, you won't have to pay interest. That makes credit less expensive for you.","Why should you pay your full credit card bill each month? If you pay it in full, you do not pay interest. This makes borrowing money cheaper."
31,hsbc_credit_card_tandc.txt,"For example, proof of identity. We can also cancel or suspend the use of the account where: Youve been in persistent debt for two 18-month periods in a row. That means youve paid more interest, fees and charges than the amount youve repaid.",2,43,6.2,"For example, proof of identity. We can also cancel or suspend use of the account where you have been in persistent debt for two consecutive 18-month periods. This means you have paid more in interest, fees, and charges than the amount you have repaid.",John,High,,"persistent debt, interest, fees",6.2,7.0,43,44,"You have been in persistent debt for two 18-month periods in a row. That means youve paid more interest, fees and charges than the amount youve repaid.","You’ve been in persistent debt for two 18-month periods in a row. That means you’ve paid more interest, fees and charges than the amount you’ve repaid.","For example, proof of identity. We can also cancel or suspend the use of the account where: Youve been in persistent debt for two 18-month periods in a row. That means youve paid more interest, fees and charges than the amount youve repaid.",We can close or pause your account if you are in persistent debt for two 18-month periods. This means you paid more in fees and interest than you paid back.
32,bank_of_scotland_cc_tandc.txt,Well charge a default fee and interest on it.  If you keep missing payments We can require you to pay back your full balance if you dont pay missed payments when we ask.,3,33,5.9,"We will charge a default fee and interest on it. If you keep missing payments, we can require you to repay your full balance if you do not pay the missed payments when we ask.",John,High,,"default fee, interest, balance",5.9,6.4,33,35,We charge a default fee and interest on it. If you keep missing payments we can require you to pay back your full balance if you dont pay missed payments when we ask.,We charge a default fee and interest on it. If you keep missing payments We can require you to pay back your full balance if you dont pay missed payments when we ask.,We will charge you a default fee and interest on it. If you keep missing payments. We can require you to pay back your full balance if you don't pay missed payments when we ask.,"We will charge a fee and interest if you miss payments. If you keep missing payments, we can ask you to pay your whole balance."
